date,draw,n1,n2,n3,n4,fb
06/18/25,EVE,4,8,1,1,9
06/18/25,MID,9,8,6,3,2
06/17/25,EVE,5,4,5,0,2
06/17/25,MID,6,6,2,9,5
06/16/25,EVE,0,7,6,8,9
06/16/25,MID,7,0,4,8,5
06/15/25,EVE,7,5,3,8,3
06/15/25,MID,3,1,7,3,1
06/14/25,EVE,8,1,4,2,8
06/14/25,MID,3,8,3,8,1
06/13/25,EVE,0,3,9,4,2
06/13/25,MID,6,8,6,2,5
06/12/25,EVE,0,7,6,4,0
06/12/25,MID,9,2,7,0,3
06/11/25,EVE,0,6,1,0,0
06/11/25,MID,5,2,3,0,5
06/10/25,EVE,6,2,2,9,8
06/10/25,MID,0,1,9,8,5
06/09/25,EVE,3,2,9,6,7
06/09/25,MID,0,7,4,0,7
06/08/25,EVE,4,6,4,7,5
06/08/25,MID,1,9,3,7,2
06/07/25,EVE,8,1,0,7,3
06/07/25,MID,2,5,9,3,9
06/06/25,EVE,6,4,3,2,2
06/06/25,MID,4,1,7,6,5
06/05/25,EVE,4,2,1,3,3
06/05/25,MID,6,7,6,9,9
06/04/25,EVE,5,8,2,8,2
06/04/25,MID,2,6,9,8,9
06/03/25,EVE,0,6,8,4,0
06/03/25,MID,0,8,5,8,5
06/02/25,EVE,0,1,0,6,0
06/02/25,MID,4,2,1,8,8
06/01/25,EVE,4,7,7,0,2
06/01/25,MID,2,2,8,3,5
05/31/25,EVE,1,2,3,0,0
05/31/25,MID,6,8,7,7,9
05/30/25,EVE,4,8,1,4,2
05/30/25,MID,7,8,2,0,7
05/29/25,EVE,7,3,6,8,2
05/29/25,MID,6,4,3,2,7
05/28/25,EVE,5,5,0,2,8
05/28/25,MID,6,2,1,3,5
05/27/25,EVE,7,8,2,0,8
05/27/25,MID,2,8,9,8,6
05/26/25,EVE,7,9,1,9,9
05/26/25,MID,4,4,4,7,4
05/25/25,EVE,6,5,5,7,9
05/25/25,MID,7,8,2,0,0
05/24/25,EVE,1,2,9,3,0
05/24/25,MID,1,1,0,5,8
05/23/25,EVE,0,6,1,3,8
05/23/25,MID,9,5,2,5,9
